timestamp,model,n_layers,width,learning_rate,batch_size,seed,val_loss,zero_demand_count,mean_actual,r2,mae,rmse,nrmse
2026-06-23T00:04:35,baseline,2,64,5e-05,256,0,-8.256961822509766,3.824696,0.928075,1.293964,3.976118,1.039591
2026-06-23T00:04:35,baseline,2,64,5e-05,256,1,-8.261345863342285,3.824696,0.931251,1.285741,3.887356,1.016383
2026-06-23T00:04:35,baseline,2,64,5e-05,256,2,-8.259873390197754,3.824696,0.929567,1.288917,3.934657,1.02875
2026-06-23T00:04:35,baseline,2,64,5e-05,256,3,-8.25836181640625,3.824696,0.927702,1.296014,3.986417,1.042283
2026-06-23T00:04:35,baseline,2,64,5e-05,256,4,-8.262001037597656,3.824696,0.930474,1.286205,3.90926,1.02211
2026-06-23T00:18:40,baseline,2,64,5e-05,256,0,-8.256961822509766,3.824696,0.928075,1.293964,3.976118,1.039591
2026-06-23T00:18:40,baseline,2,64,5e-05,256,1,-8.261345863342285,3.824696,0.931251,1.285741,3.887356,1.016383
2026-06-23T00:36:23,baseline,2,64,5e-05,256,0,-64.60636138916016,13772,31.76,18.533393,0.928916,4.760769,14.68341,0.792268
2026-06-23T00:36:23,baseline,2,64,5e-05,256,1,-64.62142181396484,13772,31.76,18.533393,0.930617,4.682864,14.506653,0.782731
2026-06-23T00:44:04,baseline,2,64,5e-05,256,0,-74.66507720947266,15505,35.76,17.569093,0.807608,7.019426,24.61926,1.401282
2026-06-23T00:44:04,baseline,2,64,5e-05,256,1,-74.71761322021484,15505,35.76,17.569093,0.806748,7.058124,24.674249,1.404412
